date,case_count
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,1.0
2024-07-11,2.0
2024-07-12,1.0
2024-07-13,1.0
2024-07-14,0.0
2024-07-15,2.0
2024-07-16,1.0
2024-07-17,2.0
2024-07-18,6.0
2024-07-19,17.0
2024-07-20,5.0
2024-07-21,2.0
2024-07-22,0.0
2024-07-23,4.0
2024-07-24,1.0
2024-07-25,0.0
2024-07-26,1.0
2024-07-27,0.0
2024-07-28,4.0
2024-07-29,5.0
2024-07-30,12.0
2024-07-31,14.0
2024-08-01,7.0
2024-08-02,7.0
2024-08-03,4.0
2024-08-04,1.0
2024-08-05,3.0
2024-08-06,1.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,4.0
2024-08-10,3.0
2024-08-11,6.0
2024-08-12,7.0
2024-08-13,10.0
2024-08-14,3.0
2024-08-15,2.0
2024-08-16,3.0
2024-08-17,3.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,1.0
2024-08-21,1.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,2.0
2024-08-28,1.0
2024-08-29,0.0
2024-08-30,0.0
2024-08-31,1.0
2024-09-01,6.0
2024-09-02,3.0
2024-09-03,2.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,1.0
2024-09-07,0.0
2024-09-08,3.0
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,1.0
2024-09-12,0.0
2024-09-13,1.0
2024-09-14,3.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,1.0
2024-09-18,1.0
2024-09-19,1.0
2024-09-20,1.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,1.0
2024-09-28,0.0
2024-09-29,1.0
2024-09-30,0.0
2024-10-01,0.0
2024-10-02,1.0
2024-10-03,1.0
2024-10-04,0.0
2024-10-05,1.0
2024-10-06,0.0
2024-10-07,2.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,2.0
2024-10-14,1.0
2024-10-15,0.0
2024-10-16,1.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,1.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,2.0
2024-11-08,0.0
2024-11-09,1.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,1.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,0.0
2024-11-17,0.0
2024-11-18,2.0
2024-11-19,0.0
2024-11-20,2.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,1.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,0.0
2024-12-03,1.0
2024-12-04,0.0
2024-12-05,0.0
2024-12-06,0.0
2024-12-07,0.0
2024-12-08,0.0
2024-12-09,0.0
2024-12-10,1.0
2024-12-11,1.0
2024-12-12,1.0
2024-12-13,1.0
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.0
2024-12-17,1.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.0
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,0.0
2024-12-24,0.0
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,0.0
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,1.0
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,3.0
2025-01-15,1.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,1.0
2025-01-19,1.0
2025-01-20,1.0
2025-01-21,0.0
2025-01-22,1.0
2025-01-23,1.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,1.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-01-31,0.0
2025-02-01,0.0
2025-02-02,0.0
2025-02-03,0.0
2025-02-04,0.0
2025-02-05,0.0
2025-02-06,0.0
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,0.0
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,1.0
2025-02-20,0.0
2025-02-21,0.0
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.0
2025-03-05,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,1.0
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,2.0
2025-03-21,0.0
2025-03-22,1.0
2025-03-23,1.0
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,0.0
2025-03-30,2.0
2025-03-31,1.0
2025-04-01,1.0
2025-04-02,1.0
2025-04-03,0.0
2025-04-04,0.0
2025-04-05,1.0
2025-04-06,2.0
2025-04-07,0.0
2025-04-08,2.0
2025-04-09,1.0
2025-04-10,0.0
2025-04-11,3.0
2025-04-12,3.0
2025-04-13,0.0
2025-04-14,1.0
2025-04-15,0.0
2025-04-16,0.0
2025-04-17,0.0
2025-04-18,0.0
2025-04-19,0.0
2025-04-20,0.0
2025-04-21,0.0
2025-04-22,0.0
2025-04-23,1.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,0.0
2025-04-27,14.0
2025-04-28,9.0
2025-04-29,6.0
2025-04-30,11.0
2025-05-01,12.0
2025-05-02,4.0
2025-05-03,2.0
2025-05-04,1.0
2025-05-05,0.0
2025-05-06,2.0
2025-05-07,0.0
2025-05-08,1.0
2025-05-09,0.0
2025-05-10,4.0
2025-05-11,14.0
2025-05-12,4.0
2025-05-13,2.0
2025-05-14,1.0
2025-05-15,1.0
2025-05-16,3.0
2025-05-17,2.0
2025-05-18,2.0
2025-05-19,1.0
2025-05-20,2.0
2025-05-21,0.0
2025-05-22,0.0
2025-05-23,1.0
2025-05-24,0.0
2025-05-25,0.0
2025-05-26,0.0
2025-05-27,1.0
2025-05-28,0.0
2025-05-29,0.0
2025-05-30,1.0
2025-05-31,3.0
2025-06-01,1.0
2025-06-02,1.0
2025-06-03,1.0
2025-06-04,1.0
2025-06-05,0.0
2025-06-06,1.0
2025-06-07,0.0
2025-06-08,2.0
2025-06-09,0.0
2025-06-10,1.0
2025-06-11,1.0
2025-06-12,1.0
2025-06-13,4.0
2025-06-14,2.0
2025-06-15,0.0
2025-06-16,5.0
2025-06-17,3.0
2025-06-18,10.0
2025-06-19,21.0
2025-06-20,21.0
2025-06-21,24.0
2025-06-22,13.0
2025-06-23,1.0
2025-06-24,4.0
2025-06-25,5.0
2025-06-26,3.0
2025-06-27,2.0
2025-06-28,8.0
2025-06-29,20.0
2025-06-30,21.0
2025-07-01,23.0
2025-07-02,11.0
2025-07-03,5.0
2025-07-04,2.0
2025-07-05,1.0
2025-07-06,2.0
2025-07-07,1.0
2025-07-08,3.0
2025-07-09,4.0
2025-07-10,4.0
2025-07-11,23.0
2025-07-12,28.0
2025-07-13,20.0
2025-07-14,9.0
2025-07-15,2.0
2025-07-16,1.0
2025-07-17,0.0
2025-07-18,1.0
2025-07-19,2.0
2025-07-20,1.0
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,1.0
2025-07-24,0.0
2025-07-25,1.0
2025-07-26,2.0
2025-07-27,0.0
2025-07-28,0.0
2025-07-29,3.0
2025-07-30,2.0
2025-07-31,0.0
2025-08-01,0.0
2025-08-02,1.0
2025-08-03,1.0
2025-08-04,1.0
2025-08-05,0.0
2025-08-06,1.0
2025-08-07,0.0
2025-08-08,1.0
2025-08-09,0.0
2025-08-10,3.0
2025-08-11,0.0
2025-08-12,11.0
2025-08-13,4.0
2025-08-14,5.0
2025-08-15,5.0
2025-08-16,2.0
2025-08-17,2.0
2025-08-18,2.0
2025-08-19,2.0
2025-08-20,0.0
2025-08-21,1.0
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,1.0
2025-08-25,6.0
2025-08-26,2.0
2025-08-27,0.0
2025-08-28,1.0
2025-08-29,0.0
2025-08-30,0.0
2025-08-31,0.0
2025-09-01,2.0
2025-09-02,0.0
2025-09-03,0.0
2025-09-04,1.0
2025-09-05,0.0
2025-09-06,1.0
2025-09-07,4.0
2025-09-08,1.0
2025-09-09,0.0
2025-09-10,0.0
2025-09-11,0.0
2025-09-12,0.0
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,1.0
2025-09-16,0.0
2025-09-17,1.0
2025-09-18,1.0
2025-09-19,0.0
2025-09-20,0.0
2025-09-21,2.0
