year,uv_avg,valid_days,total_days,percent_valid
1981,,0,365,0.0
1982,,0,365,0.0
1983,,0,365,0.0
1984,1.1308503832602583,366,366,100.0
1985,1.1679569716317786,365,365,100.0
1986,1.165704966862268,365,365,100.0
1987,1.1464633400098918,365,365,100.0
1988,1.1629126229536801,366,366,100.0
1989,1.1872760356023822,365,365,100.0
1990,1.1503924231764227,365,365,100.0
1991,1.1514074074079377,365,365,100.0
1992,1.1672708443468047,366,366,100.0
1993,1.1866474884485525,365,365,100.0
1994,1.250146946094373,365,365,100.0
1995,1.214687142334291,365,365,100.0
1996,1.1416853710174961,366,366,100.0
1997,1.2060243240477795,365,365,100.0
1998,1.2102200821407862,365,365,100.0
1999,1.2055461600497328,365,365,100.0
2000,1.2481939148110046,366,366,100.0
2001,1.2369863013698637,365,365,100.0
2002,1.2226575342465758,365,365,100.0
2003,1.174630136986301,365,365,100.0
2004,1.1877595628415307,366,366,100.0
2005,1.2236986301369859,365,365,100.0
2006,1.231561643835617,365,365,100.0
2007,1.2171780821917808,365,365,100.0
2008,1.2369125683060123,366,366,100.0
2009,1.2627123287671238,365,365,100.0
2010,1.181287671232876,365,365,100.0
2011,1.2631232876712337,365,365,100.0
2012,1.244098360655738,366,366,100.0
2013,1.2228219178082194,365,365,100.0
2014,1.2616986301369866,365,365,100.0
2015,1.2486301369863007,365,365,100.0
2016,1.2727322404371582,366,366,100.0
2017,1.301342465753425,365,365,100.0
2018,1.1978356164383563,365,365,100.0
2019,1.2590958904109597,365,365,100.0
2020,1.2818852459016397,366,366,100.0
2021,1.2209589041095896,365,365,100.0
2022,1.25427397260274,365,365,100.0
2023,1.286219178082192,365,365,100.0
2024,1.2005191256830599,366,366,100.0
2025,1.4290579445226463,305,305,100.0
